LLM,Task,Technique,Filename,Compiles,Runs,Output
gpt4,addition,decoding,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,decoding,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,decoding,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,decoding,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,decoding,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,prompting,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,prompting,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,prompting,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,prompting,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,prompting,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,rag,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,rag,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,rag,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,rag,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,rag,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,self_improvement,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,self_improvement,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,self_improvement,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,self_improvement,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,addition,self_improvement,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,decoding,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,decoding,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,decoding,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,decoding,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,decoding,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,prompting,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,prompting,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,prompting,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,prompting,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,prompting,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,rag,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,rag,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,rag,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,rag,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,rag,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,self_improvement,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,self_improvement,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,self_improvement,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,self_improvement,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,convolution,self_improvement,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,decoding,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,decoding,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,decoding,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,decoding,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,decoding,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,prompting,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,prompting,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,prompting,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,prompting,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,prompting,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,rag,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,rag,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,rag,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,rag,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,rag,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,self_improvement,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,self_improvement,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,self_improvement,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,self_improvement,sample4.cpp,NO,NO,COMPILATION_FAILED
gpt4,dot_product,self_improvement,sample5.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,decoding,sample1.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,decoding,sample2.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,decoding,sample3.cpp,NO,NO,COMPILATION_FAILED
gpt4,matrix_multiplication,decoding,sample4.cpp,NO,NO,COMPILATION_FAILED
