LLM,Task,Technique,Filename,Compiles,Runs,Output
deepseek,addition,decoding,sample1.cpp,YES,YES," Input vector 1: 1.1 2.2 3.3 4.4 5.5 Input vector 2: 2.2 3.3 4.4 5.5 6.6 Expected result: 3.3 5.5 7.7 9.9 12.1 Computed "
deepseek,addition,decoding,sample2.cpp,YES,YES,"Number of slots: 4096 Result (first 5 elements): 3.3 6.6 9.9 13.2 16.5 "
deepseek,addition,decoding,sample3.cpp,YES,YES,"Before modulus switching - level: 2 After modulus switching - level: 0 Result: 1.5 3.5 5.5 7.5 9.5 -7.52287e-11 -5.72061"
deepseek,addition,decoding,sample4.cpp,NO,NO,"1 error generated."
deepseek,addition,decoding,sample5.cpp,YES,YES,"Memory used: 1120 MB Memory used: 6096 MB Memory used: 8064 MB Processed chunk 0 Memory used: 9888 MB Processed chunk 1 "
deepseek,addition,prompting,sample1.cpp,YES,YES," "
deepseek,addition,prompting,sample2.cpp,YES,YES,"First result: 3.3 "
deepseek,addition,prompting,sample3.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: encrypted1 and encrypted2 parameter mismatch"
deepseek,addition,prompting,sample4.cpp,NO,NO,"1 error generated."
deepseek,addition,prompting,sample5.cpp,YES,YES,"Memory: 8016MB Memory: 9392MB Memory: 9392MB Memory: 9392MB Memory: 9392MB Memory: 9392MB Memory: 9392MB Memory: 9392MB "
deepseek,addition,rag,sample1.cpp,YES,YES,"Result: 3.500 + 2.250 = 5.750 Expected: 5.750 "
deepseek,addition,rag,sample2.cpp,YES,YES,"Selected strategy: Balanced-8192 with batch size 4096 Vector addition completed in 174 μs Sampled verification: Index Va"
deepseek,addition,rag,sample3.cpp,YES,NO,"libc++abi: terminating due to uncaught exception of type std::invalid_argument: end of modulus switching chain reached"
deepseek,addition,rag,sample4.cpp,YES,YES,"Thread-Safe CKKS with Graph-Based RAG ===================================== Using hardware profile: Desktop-i9 with 12 t"
deepseek,addition,rag,sample5.cpp,YES,YES,"Memory-Optimized CKKS with RAG Integration ========================================= Detected system memory: 8192 MB Sel"
deepseek,addition,self_improvement,sample1.cpp,YES,YES,"Result: 4.4, 6.6 "
deepseek,addition,self_improvement,sample2.cpp,YES,YES,"First element: -3.4288e-10 Middle element: 6758.4 Last element: 13513.5 "
deepseek,addition,self_improvement,sample3.cpp,YES,YES,"Initial level: 2 After first switch: 1 After addition: 1 Result: 4.4, 6.6 "
deepseek,addition,self_improvement,sample4.cpp,YES,YES,"First chunk sample result[0]: 5.5569e-10 "
deepseek,addition,self_improvement,sample5.cpp,YES,YES,"Memory usage: 8032 MB First element result: 2.48147e-07 Memory usage: 9888 MB Memory usage: 9888 MB Memory usage: 9888 M"
