LLM,Task,Technique,Filename,Compiles,Runs,Output,CrystalBLEU
deepseek,addition,decoding,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,decoding,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,decoding,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,decoding,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,decoding,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,prompting,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,prompting,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,prompting,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,prompting,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,prompting,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,rag,sample1.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,rag,sample2.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,rag,sample3.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,rag,sample4.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
deepseek,addition,rag,sample5.cpp,NO,NO,"Undefined symbols for architecture arm64:   '_main', referenced from:      implicit entry/start for main executable ld: symbol(s) not found for architecture arm64 clang: error: linker command failed with exit code 1 (use -v to see invocation) ",Score: 0.0
